0x30000000: 00 00 04 13 addi	s0, zero, 0x0
0x30000004: df 00 21 17 auipc	sp, 0xdf002
0x30000008: ff c1 01 13 addi	sp, sp, -0x4
0x3000000c: 00 00 05 17 auipc	a0, 0x0
0x30000010: 03 c5 05 13 addi	a0, a0, 0x3c
0x30000014: 70 00 05 97 auipc	a1, 0x70000
0x30000018: fe c5 85 93 addi	a1, a1, -0x14
0x3000001c: 70 00 06 17 auipc	a2, 0x70000
0x30000020: 40 c6 06 13 addi	a2, a2, 0x40c
0x30000024: 00 c5 fc 63 bgeu	a1, a2, 0x3000003c
0x30000028: 00 05 26 83 lw	a3, 0x0(a0)
0x3000002c: 00 d5 a0 23 sw	a3, 0x0(a1)
0x30000030: 00 45 05 13 addi	a0, a0, 0x4
0x30000034: 00 45 85 93 addi	a1, a1, 0x4
0x30000038: fe df f0 6f jal	zero, 0x30000024
0x30000024: 00 c5 fc 63 bgeu	a1, a2, 0x3000003c
0x30000028: 00 05 26 83 lw	a3, 0x0(a0)
0x3000002c: 00 d5 a0 23 sw	a3, 0x0(a1)
0x30000030: 00 45 05 13 addi	a0, a0, 0x4
0x30000034: 00 45 85 93 addi	a1, a1, 0x4
0x30000038: fe df f0 6f jal	zero, 0x30000024
0x30000024: 00 c5 fc 63 bgeu	a1, a2, 0x3000003c
0x30000028: 00 05 26 83 lw	a3, 0x0(a0)
0x3000002c: 00 d5 a0 23 sw	a3, 0x0(a1)
0x30000030: 00 45 05 13 addi	a0, a0, 0x4
0x30000034: 00 45 85 93 addi	a1, a1, 0x4
0x30000038: fe df f0 6f jal	zero, 0x30000024
0x30000024: 00 c5 fc 63 bgeu	a1, a2, 0x3000003c
0x30000028: 00 05 26 83 lw	a3, 0x0(a0)
0x3000002c: 00 d5 a0 23 sw	a3, 0x0(a1)
0x30000030: 00 45 05 13 addi	a0, a0, 0x4
0x30000034: 00 45 85 93 addi	a1, a1, 0x4
0x30000038: fe df f0 6f jal	zero, 0x30000024
0x30000024: 00 c5 fc 63 bgeu	a1, a2, 0x3000003c
0x30000028: 00 05 26 83 lw	a3, 0x0(a0)
0x3000002c: 00 d5 a0 23 sw	a3, 0x0(a1)
0x30000030: 00 45 05 13 addi	a0, a0, 0x4
0x30000034: 00 45 85 93 addi	a1, a1, 0x4
0x30000038: fe df f0 6f jal	zero, 0x30000024
0x30000024: 00 c5 fc 63 bgeu	a1, a2, 0x3000003c
0x30000028: 00 05 26 83 lw	a3, 0x0(a0)
0x3000002c: 00 d5 a0 23 sw	a3, 0x0(a1)
